cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
7931,4968925,122162,6039099,64137,0,pd
3849,4740837,117885,6475025,64711,0,pd
24566,5383387,90225,4911140,49762,698820,pd
11218,5233357,111250,5503869,47622,0,pd
36194,6463162,111781,4022519,0,0,np
2386,2022219,55741,6379399,80330,1553084,np
8361,4100710,91225,5749768,64485,546191,np
8698,5141496,109148,5691165,47859,0,pd
46857,6793865,127407,2924965,4697,0,pd
10461,5394881,117261,5810960,51444,159229,np
6217,4977394,111544,6208557,55090,24375,pd
11119,4483371,112552,5803769,73188,308491,np
31873,5487599,110877,4586393,47600,363208,np
13919,5449034,108182,5265105,35495,0,np
33904,5376659,91420,5121773,58566,1040679,pd
18296,5254981,94047,5970818,72960,1212213,pd
12969,5551971,110559,5390723,34205,0,np
28973,6360066,115748,4493048,4824,0,np
24329,4966062,90335,5530684,53993,591625,pd
7137,4881099,119321,6168498,62521,0,pd
6327,3476083,119415,6210700,74710,0,np
28662,6301737,116728,4730232,14809,0,np
