cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
31757,5845269,88161,3608718,0,0,pd
2529,4637787,93523,5867902,41699,0,pd
46816,5847082,87463,1939487,0,0,pd
35371,5836997,88395,3352177,0,0,pd
9045,5120418,110421,5538369,48923,0,np
47323,5932355,91357,1900923,0,0,np
31373,6474711,118590,4271952,0,0,np
9791,5204665,90027,5005207,26385,0,pd
48614,5939120,90156,1795357,0,0,pd
9796,5193097,102203,5349122,39191,0,np
6896,4987101,88216,5790738,54920,514669,pd
46352,5695737,101547,2815807,26853,218919,np
11687,5239333,110195,5409139,45894,0,np
7465,5054727,109048,5896419,49801,0,np
45420,6503047,110865,2925123,0,0,pd
24833,5766699,85678,4092845,1705,0,pd
7184,5034106,84376,5234412,26493,0,np
34419,6096369,104543,3881072,5492,0,np
2998,5107255,93136,5874230,32158,0,pd
13074,5940512,90998,4867099,0,0,pd
45988,5759938,82757,1929048,0,0,np
23417,5854262,88980,4313567,0,0,np
