cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
41979,6467869,110292,3414344,0,0,np
35610,5834940,107487,3849304,20470,0,pd
7552,5021493,85176,5994986,61826,806387,pd
12218,1950142,50678,3298333,34391,1268701,np
45617,5944696,91143,2323519,0,0,pd
35845,6027624,93491,3451930,0,0,np
34958,5772693,87777,3437665,3083,0,pd
52345,5854933,88253,1180381,0,0,np
6540,4433754,99879,5857383,54481,137889,pd
29069,5750350,89138,3876749,4086,0,np
44408,5905587,89670,2509944,0,0,np
24221,5857384,92754,4394745,4602,0,pd
46076,5868294,89879,2440879,0,0,np
35437,5859293,89720,3547357,0,0,np
13829,5221298,88837,4724687,25518,0,pd
23620,2659088,66184,3223848,31232,396822,np
45443,5840185,86832,2204723,0,0,np
9152,4868400,98530,5353630,42136,0,np
13737,4885622,85204,4844282,37826,243683,np
3509,4736512,87689,5701095,33949,0,pd
6184,4856248,95889,5651287,40924,0,pd
22892,5926617,103030,4749879,12735,0,np
18184,5011846,83316,4539369,30476,165175,np
15819,5293296,92828,4707074,25508,0,pd
18292,6023480,93558,4672086,0,0,pd
2205,4458528,91628,5880515,41896,0,pd
15539,5326701,91028,4796599,26861,91813,pd
16546,5952847,93476,4665838,0,0,pd
41614,5972620,95042,2974319,0,0,np
7512,3928210,88320,5224902,41942,0,np
16924,4022791,72250,4421010,34412,262335,np
843,3476910,75849,5892097,47503,407748,pd
44159,5853685,87432,2549636,0,0,pd
44076,5892529,92357,2288230,0,0,pd
41905,5959616,92477,3008542,0,0,np
17251,5230401,92825,4700461,29030,0,np
16607,5848958,90708,4684009,4590,0,pd
8039,3098270,89021,5159549,46651,0,np
42041,5464325,102656,3207258,30346,0,pd
27248,5323095,92311,4265302,30892,166826,pd
36402,5471039,107373,4410016,53151,603356,np
40079,5560333,95809,3400504,26357,178548,pd
19162,6342093,105685,4955009,0,0,pd
26375,5406377,92729,4153003,20920,0,pd
15027,5204463,89428,4695925,26229,0,pd
13575,5993628,93378,4896224,0,0,np
3445,4727154,92771,5753653,40057,0,pd
42307,5569513,90069,2743727,14820,0,pd
48133,5851851,89093,1827513,0,0,np
44854,5625510,103365,2770402,20415,0,pd
44250,6035054,95043,2776772,0,0,pd
1130,3799328,81077,5995954,51017,401703,pd
9323,4265788,79503,5218633,47534,417738,np
29603,5241678,64140,3192722,0,0,pd
6855,3555929,74577,5527932,46266,482746,np
21585,6282131,108554,4777996,0,0,pd
23785,4867255,87927,4305760,31160,0,np
24994,5732701,91935,4353673,10802,52221,pd
18693,5209629,95746,4729252,32346,0,np
2751,4553120,92348,5796829,41474,0,pd
32257,6329468,106815,4150798,0,0,pd
13872,4028175,82489,4735367,40590,193902,pd
8532,4142310,94896,5173285,46313,0,np
14627,3764403,80283,4967578,53703,509571,np
6308,3989139,88859,5588041,40717,0,pd
12511,6004005,93098,4936163,0,0,np
24203,5846525,86596,4210537,0,0,pd
31274,5865072,89161,3700904,0,0,np
18679,5319848,103347,4783351,35280,0,pd
263,3130589,77909,5814218,45526,270793,pd
5330,4885547,104257,6200821,54516,168254,pd
3053,4749301,88951,5808415,36912,0,pd
49440,5951733,91909,1742317,0,0,pd
35676,5847690,89300,3530863,0,0,np
14959,4798521,88801,4720209,34856,0,pd
11608,5172403,93951,4978406,30923,0,np
48183,6069923,99034,1876366,0,0,np
7151,5033911,89439,5347938,29005,0,pd
6779,4953038,114246,5956536,56624,0,pd
46176,6377660,115927,2613832,0,0,np
19579,5344152,92216,5070227,47660,595851,pd
29267,5990255,110755,4471971,17059,0,np
2881,4697846,89645,5775240,36290,0,pd
4297,4528363,100195,5967415,49279,0,np
51582,6460569,109595,1709664,0,0,np
10001,5366455,86537,4907146,18977,0,np
43615,5593774,98950,2892182,19063,0,pd
5180,4879067,91610,5757286,35133,0,pd
12681,5858465,88972,4792796,0,0,np
25310,5208124,88757,4225943,24139,0,pd
1393,4002002,87755,5800154,40763,0,pd
50412,5830847,84915,1217311,0,0,pd
24722,4637698,95669,4400528,44399,0,np
22348,5146392,87117,4345980,25228,0,pd
41380,5520416,91429,3044752,19066,94709,pd
3025,3342369,64127,5119089,19786,0,pd
2708,1838002,53140,5614120,56201,1084166,np
42328,6003184,93896,2829010,0,0,pd
37834,5628014,88915,3775492,33197,641050,np
16274,5217984,87645,4595505,23977,0,pd
26314,6366071,106568,4544889,0,0,pd
18566,5369421,92232,4610002,21934,0,pd
13302,5254241,90675,4803517,25315,0,pd
2113,4474539,87027,5793316,36477,0,pd
24985,6186349,102220,4435350,0,0,np
6277,5216057,109024,6221185,46427,0,np
9394,4973821,89341,5047355,30869,0,np
77,3293188,106455,6489703,66262,116484,np
24559,5841485,87666,4183360,0,0,np
13856,4651065,107914,5173920,54654,0,np
6068,3473222,75955,5721302,53223,479921,np
21072,5984002,107970,4885750,13328,0,pd
13544,6087307,98263,5026236,0,0,np
28367,5889511,89347,3957256,0,0,np
35954,6012424,96206,3678157,0,0,np
6661,5223951,88856,5447533,24836,0,np
15313,5710150,93558,4813612,12060,0,np
6690,5112065,82306,5270399,20215,0,np
45236,5866235,87074,2150477,0,0,np
3700,5167681,85595,5610382,23039,0,np
11631,5221679,96452,4967475,31789,0,pd
30870,5122089,90634,3734471,28611,0,np
6022,5124158,89792,5600968,26476,0,np
12119,5055097,110983,5448397,50418,0,pd
22487,4634342,92804,4412626,40404,0,np
28901,5224669,89484,3944717,25677,0,np
7229,5285779,95650,5438815,28332,0,np
45603,5890352,90045,2321237,0,0,pd
6134,4638897,94600,5715023,42754,0,np
7996,3952775,89960,5269030,42262,0,pd
11236,4283522,86950,4820678,37742,0,np
6767,4986553,91954,5509762,34610,0,pd
6963,4800732,114012,6036396,60223,0,np
23084,5828933,87092,4261748,0,0,np
10516,4936441,87282,5098758,44503,328388,pd
3625,4782401,108093,6364045,59277,150417,pd
13534,4555660,89428,4751880,37148,0,np
14006,5257131,113093,5236560,47949,0,pd
8654,4978983,97934,5396292,40211,0,pd
3309,2254856,60784,5709734,54301,778173,np
27977,5883911,90255,3957696,0,0,pd
42823,5858152,87590,2625552,0,0,pd
14684,5243412,92271,4778710,25926,0,pd
11605,5967552,93560,4966218,0,0,np
26297,4852410,85040,4305960,43142,354501,np
489,4387213,88791,5901425,39000,0,pd
5987,4702184,63131,4974480,11075,0,pd
7435,5029947,89827,5364369,30592,0,pd
20354,5326479,91541,4510982,23170,0,pd
24934,5925593,90818,4150697,0,0,np
53258,6003417,94086,1317667,0,0,np
4014,3268397,88209,5685623,44591,0,np
25105,5314521,90274,4204142,21954,0,pd
863,4893883,93196,5989400,37972,0,np
23410,5770368,83790,4206270,0,0,np
50212,6013154,92351,1419348,0,0,np
4592,5155864,87279,5657769,25897,0,np
37045,5502540,89074,3138023,14621,0,np
4561,4372638,58041,4863189,9996,0,np
32064,5917886,91913,3722486,0,0,np
45735,5908812,91550,2295406,0,0,pd
7334,5238812,87883,5303289,24638,0,np
52720,5850832,86969,1131523,0,0,np
12414,5243983,94444,4907127,29973,0,pd
21552,5104206,88454,4479022,32047,93463,np
7112,5220748,88668,5324437,24902,0,np
35651,5950210,90176,3548123,0,0,pd
13876,5232289,93317,4894118,28024,0,pd
41681,6003434,95568,2973538,0,0,np
3008,4612417,79944,5509250,27935,0,np
21958,5373537,108686,4948088,39345,0,pd
2846,4168817,93000,5867564,43778,0,np
32104,5858899,89127,3639375,0,0,np
31618,5744889,91847,3750831,8413,0,np
39343,6112689,109763,3480039,8786,0,pd
33059,5928348,93086,3700148,0,0,pd
21115,6105207,98378,4622437,0,0,pd
13124,5244810,87004,4732674,23275,0,pd
36142,5832309,88148,3333279,0,0,pd
43321,5817506,86837,2599330,0,0,pd
21850,5316062,110511,4986286,42650,0,np
9196,5072304,108900,5540707,49315,0,np
47676,5871869,89123,1951799,0,0,pd
44721,5891652,91160,2699119,0,0,pd
31244,5834773,88611,3696475,0,0,np
