cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
41979,6753363,119356,3699838,0,0,np
35610,5834940,119406,4179927,32389,0,pd
13346,5021493,85176,6457240,88159,1412780,pd
63423,2784407,50678,3317512,55881,2712449,np
45617,6317578,104987,2696401,0,0,pd
35845,6349352,108553,3847852,2805,0,np
34958,5772693,97126,3711082,13560,25428,pd
52345,6459053,111024,1784501,0,0,np
6540,4433754,99879,5977089,59372,257595,pd
29069,5750350,111314,4481773,26262,0,np
44408,5949460,103107,2885003,11835,0,np
24221,5857384,110613,5307450,40048,442510,pd
46076,6229620,103023,2802205,0,0,np
35437,6465944,111721,4154008,0,0,np
13829,5221298,110642,5273756,47323,0,pd
56742,2659088,66184,3570844,77756,1637748,np
45443,6102613,103573,2658655,7059,0,np
9152,4868400,109870,5665903,53476,0,np
13737,4885622,85204,5526936,63776,920211,np
3509,4736512,105264,6168692,51524,0,pd
6184,4856248,110804,6030175,55839,0,pd
22892,5926617,123233,5316140,32938,0,np
18184,5011846,83316,5104253,50788,730059,np
15819,5293296,107601,5084585,40281,0,pd
18292,6402291,107545,5050897,0,0,pd
2205,4458528,105550,6255838,55818,0,pd
15539,5326701,91028,5480126,53872,776881,pd
16546,6142562,101009,4855553,0,0,pd
41614,6396607,111101,3398306,0,0,np
7512,3928210,112144,5836438,65766,0,np
16924,4022791,72250,5320992,67917,1162317,np
843,3476910,75849,6411535,73155,927186,pd
44159,6310887,104469,3006838,0,0,pd
44076,6006438,107555,2662228,10495,0,pd
41905,6335879,106386,3384805,0,0,np
17251,5230401,92825,4700461,29030,0,np
16607,5848958,119609,5488046,33491,0,pd
8039,3098270,109563,5704658,67193,0,np
47355,5464325,106640,3789830,57759,601162,pd
27248,5323095,92311,4801135,58532,702659,pd
36402,5471039,107373,4410016,53151,603356,np
40079,5560333,95809,3588911,33115,366955,pd
19162,6765405,140334,5796732,19395,0,pd
26375,5406377,114411,4725852,42602,0,pd
15027,5204463,116237,5370067,53038,0,pd
13575,6413194,108614,5315790,0,0,np
3445,4727154,96971,6291095,62840,436457,pd
42307,5569513,103364,3368496,38433,279625,pd
48133,6481107,113479,2456769,0,0,np
44854,5625510,110963,2958050,28013,0,pd
44250,6700679,121230,3442397,0,0,pd
1130,3799328,81077,6728839,79876,1134588,pd
23536,4265788,79503,5577451,75650,1152062,np
29603,6481527,109946,4434553,0,0,pd
37209,3555929,74577,5545905,77400,1307733,np
21585,6469534,115888,4965399,0,0,pd
23785,4867255,109844,4869198,53438,0,np
24994,5732701,91935,4902336,31734,602666,pd
18693,5209629,105001,5380170,56337,413256,np
2751,4553120,117208,6672808,75531,224071,pd
32257,6329468,106815,4150798,0,0,pd
13872,4028175,82489,5239524,59669,698059,pd
8532,4142310,130065,6122048,81482,0,np
14627,3764403,80283,5240354,64233,782347,np
6308,3989139,113307,6287562,65912,0,pd
12511,6429905,109035,5362063,0,0,np
24203,6302547,103432,4666559,0,0,pd
31274,5946066,120364,4426174,27280,0,np
18679,5319848,112192,5174274,51485,181493,pd
19171,3236525,77909,6091981,70707,1022438,pd
5330,4885547,104257,6386865,61458,354298,pd
3053,4749301,102071,6166514,50032,0,pd
54153,6159093,119421,2557659,27904,200162,pd
35676,6480145,116025,4254824,3681,0,np
14959,4798521,90301,5621869,69746,864624,pd
11608,5172403,110859,5434886,47831,0,np
48183,6838602,127931,2646487,0,0,np
7151,5033911,101038,5655075,40604,0,pd
6779,4953038,128760,6331301,71138,0,pd
46176,6782919,133011,3021866,0,0,np
19579,5344152,92216,5502258,63415,1030505,pd
29267,5990255,124936,4854882,31240,0,np
2881,4697846,96574,6114040,49231,148974,pd
