cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
35610,5834940,107487,3849304,20470,0,pd
7552,5021493,85176,5994986,61826,806387,pd
12218,1950142,50678,3298333,34391,1268701,np
45617,5944696,91143,2323519,0,0,pd
34958,5772693,87777,3437665,3083,0,pd
52345,5854933,88253,1180381,0,0,np
6540,4433754,99879,5857383,54481,137889,pd
24221,5857384,92754,4394745,4602,0,pd
13829,5221298,88837,4724687,25518,0,pd
23620,2659088,66184,3223848,31232,396822,np
13737,4885622,85204,4844282,37826,243683,np
3509,4736512,87689,5701095,33949,0,pd
6184,4856248,95889,5651287,40924,0,pd
15819,5293296,92828,4707074,25508,0,pd
18292,6023480,93558,4672086,0,0,pd
2205,4458528,91628,5880515,41896,0,pd
15539,5326701,91028,4796599,26861,91813,pd
16546,5952847,93476,4665838,0,0,pd
16924,4022791,72250,4421010,34412,262335,np
843,3476910,75849,5892097,47503,407748,pd
44159,5853685,87432,2549636,0,0,pd
44076,5892529,92357,2288230,0,0,pd
16607,5848958,90708,4684009,4590,0,pd
42041,5464325,102656,3207258,30346,0,pd
27248,5323095,92311,4265302,30892,166826,pd
36402,5471039,107373,4410016,53151,603356,np
40079,5560333,95809,3400504,26357,178548,pd
19162,6342093,105685,4955009,0,0,pd
26375,5406377,92729,4153003,20920,0,pd
15027,5204463,89428,4695925,26229,0,pd
3445,4727154,92771,5753653,40057,0,pd
42307,5569513,90069,2743727,14820,0,pd
44854,5625510,103365,2770402,20415,0,pd
44250,6035054,95043,2776772,0,0,pd
1130,3799328,81077,5995954,51017,401703,pd
9323,4265788,79503,5218633,47534,417738,np
29603,5241678,64140,3192722,0,0,pd
6855,3555929,74577,5527932,46266,482746,np
21585,6282131,108554,4777996,0,0,pd
24994,5732701,91935,4353673,10802,52221,pd
2751,4553120,92348,5796829,41474,0,pd
32257,6329468,106815,4150798,0,0,pd
13872,4028175,82489,4735367,40590,193902,pd
8532,4142310,94896,5173285,46313,0,np
14627,3764403,80283,4967578,53703,509571,np
6308,3989139,88859,5588041,40717,0,pd
24203,5846525,86596,4210537,0,0,pd
18679,5319848,103347,4783351,35280,0,pd
263,3130589,77909,5814218,45526,270793,pd
5330,4885547,104257,6200821,54516,168254,pd
3053,4749301,88951,5808415,36912,0,pd
49440,5951733,91909,1742317,0,0,pd
14959,4798521,88801,4720209,34856,0,pd
7151,5033911,89439,5347938,29005,0,pd
6779,4953038,114246,5956536,56624,0,pd
46176,6377660,115927,2613832,0,0,np
2881,4697846,89645,5775240,36290,0,pd
43615,5593774,98950,2892182,19063,0,pd
5180,4879067,91610,5757286,35133,0,pd
25310,5208124,88757,4225943,24139,0,pd
1393,4002002,87755,5800154,40763,0,pd
50412,5830847,84915,1217311,0,0,pd
22348,5146392,87117,4345980,25228,0,pd
41380,5520416,91429,3044752,19066,94709,pd
3025,3342369,64127,5119089,19786,0,pd
2708,1838002,53140,5614120,56201,1084166,np
42328,6003184,93896,2829010,0,0,pd
37834,5628014,88915,3775492,33197,641050,np
16274,5217984,87645,4595505,23977,0,pd
26314,6366071,106568,4544889,0,0,pd
18566,5369421,92232,4610002,21934,0,pd
13302,5254241,90675,4803517,25315,0,pd
2113,4474539,87027,5793316,36477,0,pd
6068,3473222,75955,5721302,53223,479921,np
21072,5984002,107970,4885750,13328,0,pd
11631,5221679,96452,4967475,31789,0,pd
12119,5055097,110983,5448397,50418,0,pd
45603,5890352,90045,2321237,0,0,pd
7996,3952775,89960,5269030,42262,0,pd
6767,4986553,91954,5509762,34610,0,pd
3625,4782401,108093,6364045,59277,150417,pd
14006,5257131,113093,5236560,47949,0,pd
8654,4978983,97934,5396292,40211,0,pd
3309,2254856,60784,5709734,54301,778173,np
27977,5883911,90255,3957696,0,0,pd
42823,5858152,87590,2625552,0,0,pd
14684,5243412,92271,4778710,25926,0,pd
26297,4852410,85040,4305960,43142,354501,np
489,4387213,88791,5901425,39000,0,pd
5987,4702184,63131,4974480,11075,0,pd
7435,5029947,89827,5364369,30592,0,pd
20354,5326479,91541,4510982,23170,0,pd
25105,5314521,90274,4204142,21954,0,pd
50212,6013154,92351,1419348,0,0,np
45735,5908812,91550,2295406,0,0,pd
12414,5243983,94444,4907127,29973,0,pd
35651,5950210,90176,3548123,0,0,pd
13876,5232289,93317,4894118,28024,0,pd
21958,5373537,108686,4948088,39345,0,pd
39343,6112689,109763,3480039,8786,0,pd
33059,5928348,93086,3700148,0,0,pd
21115,6105207,98378,4622437,0,0,pd
13124,5244810,87004,4732674,23275,0,pd
36142,5832309,88148,3333279,0,0,pd
43321,5817506,86837,2599330,0,0,pd
47676,5871869,89123,1951799,0,0,pd
44721,5891652,91160,2699119,0,0,pd
44299,5912172,91621,2502655,0,0,pd
18579,1799816,48678,2115851,24359,783967,np
4122,3384326,112173,6284642,66962,0,np
6403,4971866,91006,5574065,33601,0,pd
41822,6413282,108263,3428871,0,0,pd
15778,4975618,87769,4655509,30396,0,pd
18184,5220168,96207,4659943,31442,0,pd
6702,5082932,88197,5517680,32591,131345,pd
34451,6175811,98339,3802731,0,0,pd
32938,5469624,89346,3662292,16189,0,pd
7587,4856569,90330,5272721,33303,0,pd
